NÚMERO DE PEDIDOS DAS MEDIDAS DE APOIO EXTRAORDINÁRIO À REDUÇÃO DA ATIVIDADE ECONÓMICA DE:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,2020-06-25 00:00:00,,201,138,339,5578,3469,9047,52,93,145,496,708,1204
,2020-06-26 00:00:00,,122,126,248,3054,2850,5904,49,81,130,382,613,995
,2020-06-27 00:00:00,,36,32,68,1180,873,2053,8,11,19,119,170,289
,2020-06-28 00:00:00,,34,30,64,996,679,1675,11,7,18,76,120,196
,2020-06-29 00:00:00,,190,133,323,4792,4775,9567,79,163,242,567,1000,1567
,2020-06-30 00:00:00,,267,221,488,6051,6664,12715,130,261,391,836,1683,2519
,TOTAL,,187250,11749,198999,,,,13826,11282,25108,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NÚMERO DE PEDIDOS DAS MEDIDAS DE APOIO EXTRAORDINÁRIO À REDUÇÃO DA ATIVIDADE ECONÓMICA,,,,,,,,,,,,,,
por tipo_pedido e distrito de residência,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,COVI_RED_TI,,,,,COVI_PRO_RED_TI,,,COVI_RED_MOE,,,,COVI_PRO_RED_MOE,
,TOTAL,Refª a Março,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Abril,Refª a Maio,Refª a Junho,TOTAL,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Maio,Refª a Junho
TOTAL,198999,160163,28011,8565,2260,112565,110697,67423,25108,13312,10491,1305,9805,9912
AVEIRO,13824,11090,2041,545,148,8196,7721,4434,1319,639,621,59,451,473
BEJA,2500,2020,349,105,26,1522,1364,630,138,75,49,14,52,35
BRAGA,16097,12796,2363,741,197,10112,9913,6206,1910,917,886,107,684,752
BRAGANÇA,2817,2340,359,94,24,1781,1558,736,141,74,57,10,50,46
CASTELO BRANCO,2946,2379,437,103,27,1714,1539,821,290,160,126,4,121,106
COIMBRA,7267,5900,1054,246,67,4100,3778,2052,825,461,330,34,316,262
ÉVORA,2647,2204,324,97,22,1603,1498,717,253,128,118,7,84,85
FARO,13829,10928,2113,608,180,7692,7993,5043,1286,691,514,81,535,533
GUARDA,2706,2204,348,132,22,1625,1484,724,220,102,107,11,67,70
LEIRIA,8899,7127,1321,357,94,5099,4672,2585,865,444,384,37,295,284
LISBOA,44482,35677,6181,2038,586,21824,23147,15267,7969,4448,3100,421,3338,3389
PORTALEGRE,1719,1435,206,61,17,1035,890,466,125,80,43,2,51,35
PORTO,33053,26596,4564,1536,357,19986,19769,12455,4788,2443,2092,253,1834,1918
SANTARÉM,6853,5547,976,258,72,3862,3624,2027,627,324,269,34,245,198
SETÚBAL,16231,13142,2237,668,184,8740,8688,5461,1925,1146,684,95,826,731
VIANA DO CASTELO,5453,4325,789,263,76,3375,3200,2031,396,196,182,18,140,139
VILA REAL,3936,3186,522,196,32,2389,2114,1171,283,151,119,13,107,106
VISEU,5799,4676,828,245,50,3469,3150,1721,514,288,207,19,207,168
REGIÃO AUTÓNOMA DOS AÇORES,3571,2894,498,143,36,1815,1886,1062,297,115,167,15,75,113
REGIÃO AUTÓNOMA DA MADEIRA,4267,3618,484,126,39,2576,2652,1782,861,394,405,62,305,443
DESCONHECIDO/A,103,79,17,3,4,50,57,32,76,36,31,9,22,26
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 MEDIDAS DE APOIO EXTRAORDINÁRIO À REDUÇÃO DA ATIVIDADE ECONÓMICA  - LANÇAMENTOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Trabalhadores (nº),,,,,,,,
,,,,,,TOTAL,,FEMININO,,MASCULINO,,,,
"Redução Actividade Trabalhador Independente (Março, Abril, Maio e Junho)",,,,,,156313,,84768,,71545,,,,
"Prorrogação - Redução Actividade Trabalhador Independente (Abril, Maio e Junho)",,,,,,127447,,69348,,58099,,,,
Redução Actividade Trabalhador Membro Orgão Estatutário (Abril e Maio),,,,,,18918,,7197,,11721,,,,
Prorrogação - Redução Actividade Trabalhador Membro Orgão Estatutário (Maio),,,,,,8843,,3284,,5559,,,,
